Date,CPI Median,CPI Consumers
2015-01-01,1.94752959883826,234.747
2015-02-01,1.95449451571832,235.342
2015-03-01,2.43333592636743,235.976
2015-04-01,2.96265053867684,236.222
2015-05-01,2.5012910991095,237.001
2015-06-01,2.97239956431092,237.657
2015-07-01,1.9220253006031696,238.034
2015-08-01,1.63579063211565,238.033
2015-09-01,2.99841569275872,237.498
2015-10-01,2.28316449144805,237.733
2015-11-01,2.2654806001265,238.017
2015-12-01,1.83471969623819,237.761
2016-01-01,2.70841659132004,237.652
2016-02-01,2.53771440127248,237.336
2016-03-01,2.22200455864592,238.08
2016-04-01,3.8254778833095098,238.992
2016-05-01,3.2805191880404,239.557
2016-06-01,2.10339046055212,240.222
2016-07-01,2.49016471097936,240.101
2016-08-01,2.7425708907920803,240.545
2016-09-01,2.49832933493122,241.176
2016-10-01,2.01802556175075,241.741
2016-11-01,2.45883151623452,242.026
2016-12-01,2.03838510774881,242.637
2017-01-01,3.43630577482943,243.618
2017-02-01,3.2923463387532204,244.006
2017-03-01,1.91438367511723,243.892
2017-04-01,1.55365836257901,244.193
2017-05-01,2.1132188709843502,244.004
2017-06-01,1.8968337862046696,244.163
2017-07-01,2.1220936834140702,244.243
2017-08-01,2.2747579876520403,245.183
2017-09-01,2.8702567714483,246.435
2017-10-01,2.4249630240346502,246.626
2017-11-01,2.42039295861358,247.284
2017-12-01,2.95574718908234,247.805
2018-01-01,4.17000041826154,248.859
2018-02-01,2.01327934554867,249.529
2018-03-01,1.9619000737253895,249.577
2018-04-01,2.93200914809488,250.227
2018-05-01,2.9818325508401204,250.792
2018-06-01,2.6321178885371204,251.018
2018-07-01,2.11149391449985,251.214
2018-08-01,2.2967112867851003,251.663
2018-09-01,2.3337233555462205,252.182
2018-10-01,2.60626268747923,252.772
2018-11-01,3.7237636017007705,252.594
2018-12-01,2.9117770150544304,252.767
2019-01-01,2.88960472562634,252.561
2019-02-01,2.97821762626109,253.319
2019-03-01,3.2102411483228703,254.277
2019-04-01,2.82946232379089,255.233
2019-05-01,2.5585351456762795,255.296
2019-06-01,2.96310499495169,255.213
2019-07-01,3.2008888117851098,255.802
2019-08-01,2.6257566309874503,256.036
2019-09-01,2.5044028464577406,256.43
2019-10-01,2.67072730886815,257.155
2019-11-01,3.2778581013518595,257.879
2019-12-01,2.52541708194376,258.63
2020-01-01,3.73900290493838,258.906
2020-02-01,2.87314075414153,259.246
2020-03-01,2.96611597454439,258.15
2020-04-01,2.0514104511105,256.126
2020-05-01,3.0423409595286204,255.848
2020-06-01,1.6303799442617,257.004
2020-07-01,4.12644301223046,258.408
2020-08-01,2.5642504572569904,259.366
2020-09-01,1.09289511329196,259.951
2020-10-01,1.7918610038630802,260.249
2020-11-01,1.36409877769683,260.895
2020-12-01,1.4012624303769898,262.005
2021-01-01,1.17126192381685,262.518
2021-02-01,2.79187179404496,263.583
2021-03-01,2.45230811885555,264.91
2021-04-01,2.90626910167791,266.752
2021-05-01,3.25571552598809,268.452
2021-06-01,3.75085967160498,270.664
2021-07-01,3.03001455558991,271.994
2021-08-01,4.0529206723710605,272.789
2021-09-01,4.93068961392651,273.887
2021-10-01,6.58162335190871,276.434
2021-11-01,5.921977524520989,278.799
2021-12-01,4.864243460542441,280.808
2022-01-01,6.73598572134309,282.39
2022-02-01,6.375188165836019,284.535
2022-03-01,6.22131864885611,287.553
2022-04-01,6.92388263628694,288.764
2022-05-01,7.588878771024411,291.359
2022-06-01,8.01045995451126,294.996
2022-07-01,5.988326180119151,294.977
2022-08-01,8.04803616793306,295.209
2022-09-01,7.72921604833856,296.341
2022-10-01,6.69366641779918,297.863
2022-11-01,5.91661658760609,298.648
2022-12-01,6.554622614768929,298.812
2023-01-01,7.40659988402694,300.356
2023-02-01,7.880495894967001,301.509
2023-03-01,4.62475076644842,301.744
2023-04-01,5.186168013480691,303.032
2023-05-01,4.83841780786021,303.365
2023-06-01,4.39642524892616,304.003
2023-07-01,2.49077584715136,304.628
2023-08-01,4.35897232415277,306.187
2023-09-01,5.21792092786129,307.288
2023-10-01,3.49795816925966,307.531
2023-11-01,5.1226149536403,308.024
2023-12-01,4.160125150684911,308.742
2024-01-01,6.54247711333595,309.685
