DATE,MEDCPIM158SFRBCLE
2015-01-01,1.94752959883826
2015-02-01,1.95449451571832
2015-03-01,2.43333592636743
2015-04-01,2.96265053867684
2015-05-01,2.5012910991095
2015-06-01,2.9723995643109196
2015-07-01,1.9220253006031698
2015-08-01,1.63579063211565
2015-09-01,2.9984156927587198
2015-10-01,2.28316449144805
2015-11-01,2.2654806001265
2015-12-01,1.83471969623819
2016-01-01,2.70841659132004
2016-02-01,2.53771440127248
2016-03-01,2.22200455864592
2016-04-01,3.8254778833095098
2016-05-01,3.2805191880404
2016-06-01,2.10339046055212
2016-07-01,2.49016471097936
2016-08-01,2.7425708907920803
2016-09-01,2.49832933493122
2016-10-01,2.01802556175075
2016-11-01,2.45883151623452
2016-12-01,2.03838510774881
2017-01-01,3.43630577482943
2017-02-01,3.2923463387532204
2017-03-01,1.91438367511723
2017-04-01,1.5536583625790101
2017-05-01,2.1132188709843502
2017-06-01,1.8968337862046698
2017-07-01,2.1220936834140702
2017-08-01,2.2747579876520403
2017-09-01,2.8702567714483
2017-10-01,2.4249630240346502
2017-11-01,2.42039295861358
2017-12-01,2.95574718908234
2018-01-01,4.17000041826154
2018-02-01,2.01327934554867
2018-03-01,1.9619000737253898
2018-04-01,2.93200914809488
2018-05-01,2.9818325508401204
2018-06-01,2.6321178885371204
2018-07-01,2.11149391449985
2018-08-01,2.2967112867851003
2018-09-01,2.3337233555462205
2018-10-01,2.60626268747923
2018-11-01,3.7237636017007705
2018-12-01,2.9117770150544304
2019-01-01,2.8896047256263397
2019-02-01,2.97821762626109
2019-03-01,3.2102411483228703
2019-04-01,2.82946232379089
2019-05-01,2.5585351456762795
2019-06-01,2.96310499495169
2019-07-01,3.2008888117851098
2019-08-01,2.6257566309874503
2019-09-01,2.5044028464577406
2019-10-01,2.67072730886815
2019-11-01,3.2778581013518595
2019-12-01,2.52541708194376
2020-01-01,3.73900290493838
2020-02-01,2.87314075414153
2020-03-01,2.96611597454439
2020-04-01,2.0514104511105002
2020-05-01,3.0423409595286204
2020-06-01,1.6303799442617
2020-07-01,4.12644301223046
2020-08-01,2.5642504572569904
2020-09-01,1.09289511329196
2020-10-01,1.7918610038630802
2020-11-01,1.36409877769683
2020-12-01,1.4012624303769898
2021-01-01,1.17126192381685
2021-02-01,2.79187179404496
2021-03-01,2.45230811885555
2021-04-01,2.90626910167791
2021-05-01,3.25571552598809
2021-06-01,3.7508596716049802
2021-07-01,3.03001455558991
2021-08-01,4.0529206723710605
2021-09-01,4.93068961392651
2021-10-01,6.58162335190871
2021-11-01,5.921977524520989
2021-12-01,4.864243460542441
2022-01-01,6.73598572134309
2022-02-01,6.375188165836019
2022-03-01,6.22131864885611
2022-04-01,6.92388263628694
2022-05-01,7.588878771024411
2022-06-01,8.01045995451126
2022-07-01,5.9883261801191505
2022-08-01,8.04803616793306
2022-09-01,7.72921604833856
2022-10-01,6.69366641779918
2022-11-01,5.91661658760609
2022-12-01,6.554622614768929
2023-01-01,7.40659988402694
2023-02-01,7.880495894967001
2023-03-01,4.62475076644842
2023-04-01,5.186168013480691
2023-05-01,4.83841780786021
2023-06-01,4.39642524892616
2023-07-01,2.49077584715136
2023-08-01,4.35897232415277
2023-09-01,5.21792092786129
2023-10-01,3.49795816925966
2023-11-01,5.1226149536403
2023-12-01,4.160125150684911
2024-01-01,6.54247711333595
